Date,Close*
11/6/2009,77.43
11/5/2009,79.62
11/4/2009,80.4
11/3/2009,79.6
11/2/2009,78.13
10/30/2009,77
10/29/2009,79.87
10/28/2009,77.46
10/27/2009,79.55
10/26/2009,78.68
10/23/2009,80.5
10/22/2009,81.19
10/21/2009,81.37
10/20/2009,79.09
10/19/2009,79.61
10/16/2009,78.53
10/15/2009,77.58
10/14/2009,75.18
10/13/2009,74.15
10/12/2009,73.27
10/9/2009,71.77
10/8/2009,71.69
10/7/2009,69.57
10/6/2009,70.88
10/5/2009,70.41
10/2/2009,69.95
10/1/2009,70.82
9/30/2009,70.61
9/29/2009,66.71
9/28/2009,66.84
9/25/2009,66.02
9/24/2009,65.89
9/23/2009,68.97
9/22/2009,71.55
9/21/2009,69.71
9/18/2009,72.04
9/17/2009,72.47
9/16/2009,72.51
9/15/2009,70.93
9/14/2009,68.86
9/11/2009,69.29
9/10/2009,71.94
9/9/2009,71.31
9/8/2009,71.1
9/4/2009,68.02
9/3/2009,67.96
9/2/2009,68.05
9/1/2009,68.05
8/31/2009,69.96
8/28/2009,72.74
8/27/2009,72.49
8/26/2009,71.43
8/25/2009,72.05
8/24/2009,74.37
8/21/2009,73.89
8/20/2009,72.54
8/19/2009,72.42
8/18/2009,69.19
8/17/2009,66.75
8/14/2009,67.51
8/13/2009,70.52
8/12/2009,70.16
8/11/2009,69.45
8/10/2009,70.6
8/7/2009,70.93
8/6/2009,71.94
8/5/2009,71.97
8/4/2009,71.42
8/3/2009,71.58
7/31/2009,69.45
7/30/2009,66.94
7/29/2009,63.35
7/28/2009,67.23
7/27/2009,68.38
7/24/2009,68.05
7/23/2009,67.16
7/22/2009,65.4
7/21/2009,64.72
7/20/2009,63.98
7/17/2009,63.56
7/16/2009,62.02
7/15/2009,61.54
7/14/2009,59.52
7/13/2009,59.69
7/10/2009,59.89
7/9/2009,60.41
7/8/2009,60.14
7/7/2009,62.93
7/6/2009,64.05
7/2/2009,66.73
7/1/2009,69.31
6/30/2009,69.89
6/29/2009,71.49
6/26/2009,69.16
6/25/2009,70.23
6/24/2009,68.67
6/23/2009,69.24
6/22/2009,66.93
6/19/2009,69.55
6/18/2009,71.37
6/17/2009,71.03
6/16/2009,70.47
6/15/2009,70.62
6/12/2009,72.04
6/11/2009,72.68
6/10/2009,71.33
6/9/2009,70.01
6/8/2009,68.09
6/5/2009,68.44
6/4/2009,68.81
6/3/2009,66.12
6/2/2009,68.55
6/1/2009,68.58
5/29/2009,66.31
5/28/2009,65.08
5/27/2009,63.45
5/26/2009,62.45
5/22/2009,61.67
5/21/2009,61.05
5/20/2009,62.04
5/19/2009,59.65
5/18/2009,59.03
5/15/2009,56.34
5/14/2009,58.62
5/13/2009,58.02
5/12/2009,58.85
5/11/2009,58.5
5/8/2009,58.63
5/7/2009,56.71
5/6/2009,56.34
5/5/2009,53.84
5/4/2009,54.47
5/1/2009,53.2
4/30/2009,51.12
4/29/2009,50.97
4/28/2009,49.92
4/27/2009,50.14
4/24/2009,51.55
4/23/2009,49.62
4/22/2009,48.85
4/21/2009,46.51
4/20/2009,45.88
4/17/2009,50.33
4/16/2009,49.98
4/15/2009,49.25
4/14/2009,49.41
4/13/2009,50.05
4/9/2009,52.24
4/8/2009,49.38
4/7/2009,49.15
4/6/2009,51.05
4/3/2009,52.51
4/2/2009,52.64
4/1/2009,48.39
3/31/2009,49.66
3/30/2009,48.41
3/27/2009,52.38
3/26/2009,54.34
3/25/2009,52.77
3/24/2009,53.98
3/23/2009,53.8
3/20/2009,51.06
3/19/2009,51.61
3/18/2009,48.14
3/17/2009,49.16
3/16/2009,47.35
3/13/2009,46.25
3/12/2009,47.03
3/11/2009,42.33
3/10/2009,45.71
3/9/2009,47.07
3/6/2009,45.52
3/5/2009,43.61
3/4/2009,45.38
3/3/2009,41.65
3/2/2009,40.15
2/27/2009,44.76
2/26/2009,45.22
2/25/2009,42.5
2/24/2009,39.96
2/23/2009,38.44
2/20/2009,38.94
2/19/2009,39.48
2/18/2009,34.62
2/17/2009,34.93
2/13/2009,37.51
2/12/2009,33.98
2/11/2009,35.94
2/10/2009,37.55
2/9/2009,39.56
2/6/2009,40.17
2/5/2009,41.17
2/4/2009,40.32
2/3/2009,40.78
2/2/2009,40.08
1/30/2009,41.68
1/29/2009,41.44
1/28/2009,42.16
1/27/2009,41.58
1/26/2009,45.73
1/23/2009,46.47
1/22/2009,43.67
1/21/2009,43.55
1/20/2009,38.74
1/16/2009,36.51
1/15/2009,35.4
1/14/2009,37.28
1/13/2009,37.78
1/12/2009,37.59
1/9/2009,40.83
1/8/2009,41.7
1/7/2009,42.63
1/6/2009,48.58
1/5/2009,48.81
1/2/2009,46.34
12/31/2008,44.6
12/30/2008,39.03
12/29/2008,40.02
12/26/2008,37.71
12/24/2008,35.35
12/23/2008,38.98
12/22/2008,39.91
12/19/2008,33.87
12/18/2008,36.22
12/17/2008,40.06
12/16/2008,43.6
12/15/2008,44.51
12/12/2008,46.28
12/11/2008,47.98
12/10/2008,43.52
12/9/2008,42.07
12/8/2008,43.71
12/5/2008,40.81
12/4/2008,43.67
12/3/2008,46.79
12/2/2008,46.96
12/1/2008,49.28
11/28/2008,54.43
11/26/2008,54.44
11/25/2008,50.77
11/24/2008,54.5
11/21/2008,49.93
11/20/2008,49.62
11/19/2008,53.62
11/18/2008,54.39
11/17/2008,54.95
11/14/2008,57.04
11/13/2008,58.24
11/12/2008,56.16
11/11/2008,59.33
11/10/2008,62.41
11/7/2008,61.04
11/6/2008,60.77
11/5/2008,65.3
11/4/2008,70.53
11/3/2008,63.91
10/31/2008,67.81
10/30/2008,65.96
10/29/2008,67.5
10/28/2008,62.73
10/27/2008,63.22
10/24/2008,64.15
10/23/2008,67.84
10/22/2008,66.75
10/21/2008,70.89
10/20/2008,74.25
10/17/2008,71.85
10/16/2008,69.85
10/15/2008,74.54
10/14/2008,78.63
10/13/2008,81.19
10/10/2008,77.7
10/9/2008,86.59
10/8/2008,88.95
10/7/2008,90.06
10/6/2008,87.81
10/3/2008,93.88
10/2/2008,93.97
10/1/2008,98.53
9/30/2008,100.64
9/29/2008,96.37
9/26/2008,106.89
9/25/2008,108.02
9/24/2008,105.73
9/23/2008,106.61
9/22/2008,120.92
9/19/2008,104.55
9/18/2008,97.88
9/17/2008,97.16
9/16/2008,91.15
9/15/2008,95.71
9/12/2008,101.18
9/11/2008,100.87
9/10/2008,102.58
9/9/2008,103.26
9/8/2008,106.34
9/5/2008,106.23
9/4/2008,107.89
9/3/2008,109.35
9/2/2008,109.71
8/29/2008,115.46
8/28/2008,115.59
8/27/2008,118.15
8/26/2008,116.27
8/25/2008,115.11
8/22/2008,114.59
8/21/2008,121.18
8/20/2008,114.98
8/19/2008,114.53
8/18/2008,112.87
8/15/2008,113.77
8/14/2008,115.01
8/13/2008,116
8/12/2008,113.01
8/11/2008,114.45
8/8/2008,115.2
8/7/2008,120.02
8/6/2008,118.58
8/5/2008,119.17
8/4/2008,121.41
8/1/2008,125.1
7/31/2008,124.08
7/30/2008,126.77
7/29/2008,122.19
7/28/2008,124.73
7/25/2008,123.26
7/24/2008,125.49
7/23/2008,124.44
7/22/2008,127.95
7/21/2008,131.04
7/18/2008,128.88
7/17/2008,129.29
7/16/2008,134.6
7/15/2008,138.74
7/14/2008,145.18
7/11/2008,145.08
7/10/2008,141.65
7/9/2008,136.05
7/8/2008,136.04
7/7/2008,141.37
7/3/2008,145.29
7/2/2008,143.57
7/1/2008,140.97
6/30/2008,140
6/27/2008,140.21
6/26/2008,139.64
6/25/2008,134.55
6/24/2008,137
6/23/2008,136.74
6/20/2008,134.62
6/19/2008,131.93
6/18/2008,136.68
6/17/2008,134.01
6/16/2008,134.61
6/13/2008,134.86
6/12/2008,136.74
6/11/2008,136.38
6/10/2008,131.31
6/9/2008,134.35
6/6/2008,138.54
6/5/2008,127.79
6/4/2008,122.3
6/3/2008,124.31
6/2/2008,127.76
5/30/2008,127.35
5/29/2008,126.62
5/28/2008,131.03
5/27/2008,128.85
5/23/2008,132.19
5/22/2008,130.81
5/21/2008,133.17
5/20/2008,129.07
5/19/2008,127.05
